L4 | Sat Jan 18 00:07:20 2020 (615 ms) | general | exiting: calling SDL_CloseAudio
L5 | Sat Jan 18 00:24:29 2020 (201 ms) | general |    1152 x 864

L5 | Sat Jan 18 00:24:29 2020 (201 ms) | general |    1024 x 768

L5 | Sat Jan 18 00:24:29 2020 (201 ms) | general |    800 x 600

L5 | Sat Jan 18 00:24:29 2020 (201 ms) | general |    640 x 480

L4 | Sat Jan 18 00:24:29 2020 (287 ms) | general | Successfully opened audio: 44100Hz (requested 44100Hz), sample buffer size=512 (requested 1024)

L4 | Sat Jan 18 00:24:29 2020 (519 ms) | general | Recording game into file recordedGames/recordedGame000087.txt
L4 | Sat Jan 18 00:24:29 2020 (519 ms) | general | Only keeping 20 past recordings
L4 | Sat Jan 18 00:24:29 2020 (520 ms) | general | Removed 1 stale recordings
L4 | Sat Jan 18 00:24:29 2020 (561 ms) | general | OneLife client v219 (binV=219, dataV=0) starting up
L4 | Sat Jan 18 00:24:46 2020 (888 ms) | general | exiting...

L4 | Sat Jan 18 00:24:46 2020 (888 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sat Jan 18 00:24:47 2020 (90 ms) | general | exiting: Deleting sceneHandler

L4 | Sat Jan 18 00:24:47 2020 (90 ms) | general | Freeing sound sprites

L4 | Sat Jan 18 00:24:47 2020 (91 ms) | general | exiting: freeing frameDrawer

L4 | Sat Jan 18 00:24:47 2020 (203 ms) | general | exiting: Deleting screen

L4 | Sat Jan 18 00:24:47 2020 (204 ms) | general | exiting: freeing drawString

L4 | Sat Jan 18 00:24:47 2020 (205 ms) | general | exiting: calling SDL_Quit()

L4 | Sat Jan 18 00:24:47 2020 (223 ms) | general | exiting: Done.

L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | New game starting up
L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | Target game image size:  1280x720

L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | Ideal window dimensions:  1280x720

L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | Trying to start in fullscreen mode.
L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | The following frame rates are considered possible:
L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | 30 fps
L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | 60 fps
L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | 100 fps
L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | 120 fps
L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | 144 fps
L4 | Sat Jan 18 00:24:49 2020 (539 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general | Current screen configuration is 1440x900 with aspect ratio 1.60
L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general | Sticking with user's current screen resolution
L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general | Checking if requested video mode (1440x900) is available
L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general | Available video modes:
L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    2560 x 1600

L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1920 x 1440

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1920 x 1200

L4 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1856 x 1392

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1792 x 1344

L5 | Sat Jan 18 00:24:49 2020 (540 ms) | general |    1680 x 1050

